Company/Manufacturer	Product	Path/Bank	Program	Notes
UVI	Spectre	Chords	CHO Bleep Gm	
UVI	Spectre	Chords	CHO Complete Cm	
UVI	Spectre	Chords	CHO Metrosex	
UVI	Spectre	Chords	CHO Mouth	
UVI	Spectre	Chords	CHO Tek Cluster	
UVI	Spectre	Drums	DR Bounce Dem	
UVI	Spectre	Drums	DR Breakbeat	
UVI	Spectre	Drums	DR Clap Layer 1	
UVI	Spectre	Drums	DR Clap Layer 2	
UVI	Spectre	Drums	DR Clubber 1	
UVI	Spectre	Drums	DR Clubber 2	
UVI	Spectre	Drums	DR Full House	
UVI	Spectre	Drums	DR Industrial	
UVI	Spectre	Drums	DR Real House 1	
UVI	Spectre	Drums	DR Real House 2	
UVI	Spectre	Drums	DR Real House 3	
UVI	Spectre	Drums	DR Real House 4	
UVI	Spectre	Drums	DR Roller	
UVI	Spectre	Drums	DR Trapped	
UVI	Spectre	Drums	DR Zouklando	
UVI	Spectre	FX And Rise	FX Drum Fills	
UVI	Spectre	FX And Rise	FX Fireworks	
UVI	Spectre	FX And Rise	FX Grand Corbeau	
UVI	Spectre	FX And Rise	FX Gyrofare	
UVI	Spectre	FX And Rise	FX Hey	
UVI	Spectre	FX And Rise	FX Noise Ramp	
UVI	Spectre	FX And Rise	FX Pacman	
UVI	Spectre	FX And Rise	FX Rizor 1	
UVI	Spectre	FX And Rise	FX Rizor 2	
UVI	Spectre	FX And Rise	FX Rizor 3	
UVI	Spectre	FX And Rise	FX Square Rizor	
UVI	Spectre	FX And Rise	FX Tabla Finger	
UVI	Spectre	FX And Rise	FX Timpani 1	
UVI	Spectre	FX And Rise	FX Timpani 2	
UVI	Spectre	FX And Rise	FX Zombreath	
UVI	Spectre	Keys	KEY 80's Ballad	
UVI	Spectre	Keys	KEY Danny Likes Birds	
UVI	Spectre	Keys	KEY Mouth	
UVI	Spectre	Keys	KEY Piano 2k16	
UVI	Spectre	Keys	KEY Piano Cinematic	
UVI	Spectre	Keys	KEY Piano One	
UVI	Spectre	Keys	KEY Progressive 1	
UVI	Spectre	Keys	KEY Progressive 2	
UVI	Spectre	Keys	KEY Radio FG	
UVI	Spectre	Keys	KEY Rhodes Lover	
UVI	Spectre	Keys	KEY Sid	
UVI	Spectre	Keys	KEY Soft	
UVI	Spectre	Keys	KEY Woobled Piano	
UVI	Spectre	Leads	LD Agressive lead	
UVI	Spectre	Leads	LD Air	
UVI	Spectre	Leads	LD Booty Bouncy	
UVI	Spectre	Leads	LD Booty Shake	
UVI	Spectre	Leads	LD Cream	
UVI	Spectre	Leads	LD Dry Buzz	
UVI	Spectre	Leads	LD Duck	
UVI	Spectre	Leads	LD Hard Trance 1	
UVI	Spectre	Leads	LD Hard Trance 2	
UVI	Spectre	Leads	LD Irish Flute	
UVI	Spectre	Leads	LD Ocarini	
UVI	Spectre	Leads	LD Ommet Uzcan	
UVI	Spectre	Leads	LD Pacman	
UVI	Spectre	Leads	LD Ready 1	
UVI	Spectre	Leads	LD Ready 2	
UVI	Spectre	Leads	LD Ready 3	
UVI	Spectre	Leads	LD Secretly	
UVI	Spectre	Leads	LD Showteker	
UVI	Spectre	Leads	LD Smasher	
UVI	Spectre	Leads	LD Strongwell	
UVI	Spectre	Leads	LD Summer	
UVI	Spectre	Leads	LD Trap Win	
UVI	Spectre	Leads	LD Trumpet	
UVI	Spectre	Leads	LD Where Are Them Now	
UVI	Spectre	Leads	LD Whistling Falcon	
UVI	Spectre	Leads	LD Yee	
