Sound Ideas	Sampler Library	0104-03-03	GUITAR, PEDAL STEEL	HARMONIC NOTE, E5
Sound Ideas	Sampler Library	0104-03-04	GUITAR, PEDAL STEEL	HARMONIC NOTE, D#5
Sound Ideas	Sampler Library	0104-03-05	GUITAR, PEDAL STEEL	HARMONIC NOTE, C#5
Sound Ideas	Sampler Library	0104-03-06	GUITAR, PEDAL STEEL	HARMONIC NOTE, B4
Sound Ideas	Sampler Library	0104-03-07	GUITAR, PEDAL STEEL	HARMONIC NOTE, A4
Sound Ideas	Sampler Library	0104-03-08	GUITAR, PEDAL STEEL	HARMONIC NOTE, G#4
Sound Ideas	Sampler Library	0104-04-01	HARP	SINGLE NOTE, C2
Sound Ideas	Sampler Library	0104-04-02	HARP	SINGLE NOTE, E2
Sound Ideas	Sampler Library	0104-04-03	HARP	SINGLE NOTE, G2
Sound Ideas	Sampler Library	0104-04-04	HARP	SINGLE NOTE, A#2
Sound Ideas	Sampler Library	0104-04-05	HARP	SINGLE NOTE, C3
Sound Ideas	Sampler Library	0104-04-06	HARP	SINGLE NOTE, E3
Sound Ideas	Sampler Library	0104-04-07	HARP	SINGLE NOTE, G3
Sound Ideas	Sampler Library	0104-04-08	HARP	SINGLE NOTE, A#3
Sound Ideas	Sampler Library	0104-04-09	HARP	SINGLE NOTE, C4
Sound Ideas	Sampler Library	0104-04-10	HARP	SINGLE NOTE, E4
Sound Ideas	Sampler Library	0104-04-11	HARP	SINGLE NOTE, G4
Sound Ideas	Sampler Library	0104-04-12	HARP	SINGLE NOTE, A#4
Sound Ideas	Sampler Library	0104-05-01	HARP	SINGLE NOTE, C5
Sound Ideas	Sampler Library	0104-05-02	HARP	SINGLE NOTE, E5
Sound Ideas	Sampler Library	0104-05-03	HARP	SINGLE NOTE, G5
Sound Ideas	Sampler Library	0104-05-04	HARP	SINGLE NOTE, A#5
Sound Ideas	Sampler Library	0104-05-05	HARP	SINGLE NOTE, C6
Sound Ideas	Sampler Library	0104-05-06	HARP	SINGLE NOTE, E6
Sound Ideas	Sampler Library	0104-05-07	HARP	SINGLE NOTE, G6
Sound Ideas	Sampler Library	0104-05-08	HARP	SINGLE NOTE, A#6
Sound Ideas	Sampler Library	0104-05-09	HARP	SINGLE NOTE, C7
Sound Ideas	Sampler Library	0104-05-10	HARP	SINGLE NOTE, E7
Sound Ideas	Sampler Library	0104-05-11	HARP	SINGLE NOTE, G7
Sound Ideas	Sampler Library	0104-06-01	HARP	LOW SINGLE NOTE, C1
Sound Ideas	Sampler Library	0104-06-02	HARP	LOW SINGLE NOTE, E1
